//MapId	Id	ItemId	X	Y	Delay
12065	1	40025	26	441	3
12093	1	41005	852	384	4
12101	1	41011	565	255	3
12102	1	27017	566	247	3
12103	1	37806	298	217	3
12104	1	41003	363	217	3
12104	2	29177	561	288	5
12105	1	41005	523	214	4
12106	1	26159	583	289	3
12107	1	26045	482	231	3
12107	2	29163	306	233	4
12108	1	34022	467	257	3
12131	1	42001	599	226	3
12131	2	42003	533	264	3
12132	1	35002	574	206	4
12133	1	33002	365	207	4
12134	1	18502	199	230	6
12135	1	26035	437	208	3
12136	1	27002	332	275	3
12137	1	26037	367	188	3
12138	1	26037	594	301	3
12171	1	33002	612	209	5
12172	1	38001	174	209	4
12173	1	40019	407	260	3
12174	1	44022	219	427	19
12175	1	27024	519	273	5
12176	1	26033	598	204	3
12176	2	32018	218	350	3
12177	1	26028	347	273	3
12179	1	32018	656	368	3
12179	2	10001	456	238	3
12179	3	19737	511	258	5
12180	1	26026	475	315	3
12201	1	33003	445	309	5
12202	1	37001	521	321	13
12221	1	27006	391	251	5
12241	1	26026	545	348	3
12241	2	29259	506	315	1
12261	1	41016	445	231	5
12281	1	26033	707	126	5
12282	1	38001	732	142	3
12301	1	38002	719	266	14
12302	1	26017	528	303	3
12303	1	26034	320	450	3
12304	1	27027	615	280	3
12401	1	43019	477	345	3
12402	1	43058	121	365	3
12403	1	43064	85	239	3
12404	1	26004	312	233	3
12404	2	34012	186	311	60
12405	1	26152	1069	867	1
12405	2	26152	998	837	1
12405	3	26152	989	828	1
12405	4	26152	918	792	1
12405	5	26152	923	786	1
12405	6	26152	1097	856	1
12405	7	26152	968	330	1
12405	8	26152	964	369	1
12405	9	26152	959	376	1
12405	10	26152	934	353	1
12405	11	26152	1011	329	1
12405	12	26152	1044	852	1
12405	13	26152	1051	846	1
12405	14	26152	899	801	1
12405	15	26152	997	826	1
12405	16	26152	975	823	1
12405	17	26152	1026	846	60
12405	18	26152	947	809	1
12405	19	26152	1018	824	1
12405	20	26152	1038	842	1
12406	1	26152	62	210	1
12406	2	26152	55	208	1
12406	3	26152	95	186	1
12406	4	26152	329	156	1
12406	5	26152	338	172	1
12406	6	26152	291	169	1
12406	7	26152	389	183	1
12406	8	26152	347	170	1
12406	9	26152	334	153	1
12406	10	26152	968	270	1
12406	11	26152	706	303	1
12406	12	26152	868	307	1
12406	13	26152	889	331	1
12406	14	26152	729	327	1
12406	15	26152	942	300	1
12406	16	26152	897	335	1
12406	17	26152	949	304	1
12406	18	26152	282	176	1
12406	19	26152	711	297	1
12406	20	26152	896	326	1
12407	1	26152	88	182	1
12407	2	26152	96	177	1
12407	3	26152	335	163	1
12407	4	26152	418	139	1
12407	5	26152	423	129	1
12407	6	26152	167	183	1
12407	7	26152	295	181	1
12407	8	26152	56	201	1
12407	9	26152	395	178	1
12407	10	26152	731	310	1
12407	11	26152	686	271	1
12407	12	26152	725	319	1
12407	13	26152	728	312	1
12407	14	26152	752	320	1
12407	15	26152	922	287	1
12407	16	26152	930	279	1
12407	17	26152	903	318	1
12407	18	26152	831	304	1
12407	19	26152	960	244	1
12407	20	26152	877	261	1
12411	1	43054	699	431	3
12412	1	44031	205	557	3
12413	1	43067	710	609	3
12418	1	26152	959	304	1
12418	2	26152	900	331	1
12418	3	26152	831	328	1
12418	4	26152	951	296	1
12418	5	26152	906	318	1
12418	6	26152	869	319	1
12418	7	26152	694	303	1
12418	8	26152	732	329	1
12418	9	26152	699	317	1
12418	10	26152	330	168	1
12418	11	26152	339	177	1
12418	12	26152	339	160	1
12418	13	26152	343	175	1
12418	14	26152	369	179	1
12418	15	26152	178	187	1
12418	16	26152	277	171	1
12418	17	26152	416	167	1
12418	18	26152	404	178	1
12418	19	26152	77	206	1
12419	1	26152	56	201	1
12419	2	26152	96	177	1
12419	3	26152	87	176	60
12419	4	26152	167	183	1
12419	5	26152	295	181	1
12419	6	26152	335	163	1
12419	7	26152	395	178	1
12419	8	26152	423	129	1
12419	9	26152	418	139	1
12419	10	26152	686	271	1
12419	11	26152	728	312	1
12419	12	26152	720	321	1
12419	13	26152	752	320	1
12419	14	26152	831	304	1
12419	15	26152	877	261	1
12419	16	26152	892	313	1
12419	17	26152	924	289	1
12419	18	26152	937	281	1
12419	19	26152	971	238	1
12431	1	44063	228	826	3
12433	1	43049	682	214	3
12441	1	43068	145	513	3
12521	1	29225	1492	1538	2
12521	2	29225	2271	892	3
12521	3	29225	2543	242	3
12521	4	29225	1186	413	4
12521	5	29225	2176	2225	2
12801	1	43010	998	695	1
12801	2	43010	829	1289	1
12801	3	43010	847	1236	1
12801	4	43010	847	1236	1
12801	5	43010	832	1259	1
12801	6	43010	852	1207	1
12801	7	43010	852	1207	1
12801	8	43010	870	668	1
12801	9	43010	891	636	1
12801	10	43010	1002	574	1
12801	11	43010	597	349	1
12801	12	43010	573	344	1
12801	13	43010	587	329	1
12801	14	43010	610	331	1
12801	15	43010	356	253	1
12801	16	43010	365	249	1
12801	17	43010	340	258	1
12801	18	43010	898	368	1
12801	19	43010	1007	309	1
12801	20	43010	950	292	1
12801	21	43010	939	295	1
12801	22	43010	932	298	1
12801	23	43010	1083	295	1
12801	24	43010	1066	298	1
12801	25	43010	1073	293	1
12801	26	43010	859	370	1
12801	27	43010	1678	357	1
12801	28	43010	1766	368	1
12801	29	43010	1779	366	1
12801	30	43010	2350	449	1
12801	31	43010	2022	325	1
12801	32	43010	2245	939	1
12801	33	43010	2261	946	1
12801	34	43010	1976	357	1
12801	35	43010	2362	438	1
12801	36	43010	2014	335	1
12801	37	43010	2218	142	1
12801	38	43010	2233	141	1
12801	39	43010	2276	1567	1
12801	40	43010	2293	1577	1
12801	41	43010	1792	1532	1
12801	42	43010	1767	1545	1
12842	1	43066	446	298	5
12842	2	33001	670	280	3
12842	3	33001	178	230	3
12842	4	33001	775	334	3
12842	5	33001	184	236	3
12881	1	43107	171	666	2
12881	2	43107	474	156	2
12881	3	43107	1168	280	2
12881	4	43107	2828	1226	2
12881	5	43107	2697	622	3
12881	6	43107	2459	342	2
12882	1	43107	88	202	2
12882	2	43107	839	348	2
12882	3	43107	1874	1130	1
12882	4	43107	2523	346	2
12882	5	43107	1658	345	2
12882	6	43107	3122	669	3
12891	1	29276	218	2042	2
12891	2	29276	1441	848	3
12891	3	29276	874	303	3
12891	4	29276	527	471	4
12891	5	29276	125	264	2
12891	6	29276	893	2378	3
12990	1	43056	641	116	5
12991	1	43048	1142	164	5
13002	1	29213	863	463	3
13013	1	29215	157	341	5
13013	2	26257	499	506	4
13015	1	29238	883	509	2
13021	1	32018	812	535	3
13022	1	40020	139	421	4
13031	1	43004	758	502	4
13032	1	27001	774	184	3
13041	1	26016	82	511	3
13041	2	26032	650	62	4
13042	1	26005	346	573	5
13101	1	37670	298	223	4
13103	1	29217	178	270	5
13105	1	32016	471	222	5
13105	2	26048	181	265	4
13106	1	27019	182	265	4
13106	2	26035	182	265	4
13106	3	40019	250	228	4
13133	1	26051	355	187	6
13173	1	32033	309	224	1
13173	2	29216	526	278	5
13174	1	37003	462	227	3
13201	1	44001	514	264	4
13201	2	33005	561	340	5
13221	1	34005	410	245	5
13223	1	41012	494	231	3
13224	1	41002	416	247	5
13241	1	37307	427	310	2
13242	1	26171	411	329	4
13243	1	26038	495	339	6
13245	1	38001	336	333	4
13245	2	26008	562	390	2
13281	1	37214	947	290	2
13304	1	27016	597	262	3
13464	1	43039	672	665	60
13473	1	43036	3578	313	3
13477	1	40013	602	274	3
13478	1	26168	279	296	2
13480	1	32029	108	305	2
13491	1	40028	792	467	4
13491	2	33025	1333	818	4
13855	1	43052	685	794	2
13885	1	43033	598	340	4
14001	1	26017	928	546	4
14001	2	42021	241	572	3
14002	1	26005	1130	522	3
14002	2	26006	805	59	3
14002	3	40004	1012	539	3
14003	1	43016	805	99	3
14011	1	44043	948	226	5
14101	1	27018	566	246	5
14131	1	26032	366	205	4
14132	1	26033	146	353	5
14171	1	27023	607	188	4
14172	1	40022	355	189	5
14173	1	32015	634	286	4
14174	1	26018	617	300	5
14201	1	26052	543	295	5
14221	1	27006	417	242	6
14241	1	37001	517	343	6
14261	1	41011	352	250	6
14281	1	43044	1080	342	4
14301	1	33002	719	265	5
14421	1	43065	847	605	3
14424	1	43037	378	226	4
14425	1	26038	173	281	5
14431	1	44089	1559	1104	3
14431	2	43033	1322	206	3
14431	3	26043	1404	339	3
14501	1	43076	1469	809	3
14503	1	42003	2340	1121	4
14507	1	33011	431	176	3
14509	1	43019	607	155	4
14510	1	43069	607	158	4
14521	1	43042	427	1187	3
14522	1	43069	148	1119	4
14523	1	43063	1090	191	3
14524	1	43075	4009	1494	3
14524	2	43006	1936	1807	6
14529	1	43003	156	252	4
14534	1	43071	103	485	6
14537	1	43056	620	156	4
14538	1	43020	114	475	5
14551	1	43021	152	949	4
14551	2	43040	2178	421	4
14553	1	43036	524	574	5
14555	1	43021	1057	918	5
14558	1	43040	1292	529	3
14560	1	43056	1414	905	3
14562	1	43064	1368	533	5
14811	1	38003	216	315	3
14846	1	29286	4702	520	5
14846	2	29287	4608	668	3
15002	1	29236	197	200	2
15024	1	40025	1098	388	2
15101	1	39001	313	289	3
15101	2	26034	453	239	6
15102	1	27002	477	300	6
15131	1	37005	254	399	5
15131	2	26045	599	225	5
15171	1	32015	555	325	6
15171	2	29138	220	430	3
15452	1	29269	395	878	1
15457	1	29269	1198	2120	2
15460	1	29269	462	339	3
15462	1	29269	107	613	2
15491	1	26022	97	432	3
15491	2	38020	12	1117	3
15491	3	44089	1192	53	3
15591	1	44062	2936	250	4
15591	2	38013	2320	822	4
15591	3	43002	1765	328	4
15702	1	29225	1336	681	4
15702	2	29226	1404	1595	3
15863	1	29164	451	328	5
15871	1	43075	1145	153	3
15871	2	43063	102	2926	4
16001	1	26129	505	132	3
16001	2	43004	280	173	2
16101	1	26037	657	405	3
16101	2	39001	276	379	3
16131	1	34001	579	330	3
16131	2	26028	659	404	3
16401	1	43009	956	1013	6
16402	1	43016	1574	352	6
16402	2	43020	1464	333	6
16402	3	43022	390	935	6
16523	1	36014	113	256	3
16528	1	44042	612	175	4
16529	1	43019	237	138	4
18022	1	26019	25	829	3
18041	1	26119	88	505	3
18041	2	26120	754	605	3
18041	3	26126	395	745	3
18051	1	43069	162	264	6
18061	1	43040	1563	1139	3
18071	1	29199	1406	401	4
18071	2	29198	182	114	4
18101	1	40014	165	335	2
18101	2	29159	234	252	3
18102	1	32013	255	220	3
18102	2	29160	436	213	3
18104	1	26267	678	274	3
18105	1	27027	465	219	3
18109	1	32013	516	232	3
18134	1	26157	610	226	3
18135	1	26029	382	228	3
18136	1	33022	254	256	3
18139	1	26055	162	220	4
18140	1	26110	411	185	3
18173	1	34001	641	344	3
18174	1	37556	597	186	3
18175	1	42002	219	312	3
18177	1	26111	309	231	5
18178	1	26111	615	207	3
18180	1	32013	364	289	3
18181	1	26167	492	228	5
18182	1	26157	250	267	4
18183	1	26053	290	234	4
18187	1	29052	212	298	2
18243	1	43021	436	309	3
18303	1	26166	75	358	3
18402	1	36005	324	536	2
18411	1	43039	1210	646	60
18432	1	34006	323	530	2
18452	1	43037	699	329	3
18512	1	33016	330	229	2
18704	1	43075	534	1055	3
18704	2	43075	252	825	3
18704	3	43075	270	509	2
18704	4	43075	1479	1099	2
18704	5	43075	1427	779	2
18704	6	43075	855	332	3
18704	7	43075	566	297	2
18831	1	43108	972	352	1
18831	2	43108	1231	291	2
18831	3	43108	1223	655	3
18831	4	43108	1705	393	2
18831	5	43108	2235	319	1
18831	6	43108	2670	316	3
18831	7	43108	3137	597	1
18831	8	43108	3932	568	2
18831	9	43108	3771	1182	3
18831	10	43108	3373	1391	3
18831	11	43108	3970	1557	1
18831	12	43108	3473	1798	1
18831	13	43108	3153	1615	2
18831	14	43108	2721	1775	3
18831	15	43108	2962	1711	2
18831	16	43108	2532	1741	2
18831	17	43108	2339	1750	1
18831	18	43108	2150	1692	2
18831	19	43108	1869	1784	3
18831	20	43108	1944	1762	2
18831	21	43108	1322	1700	1
18831	22	43108	1396	1537	2
18831	23	43108	1354	1291	1
18831	24	43108	1267	1104	3
18831	25	43108	1144	1040	2
18831	26	43108	924	1459	2
18831	27	43108	746	1739	3
18831	28	43108	230	1529	1
18831	29	43108	215	1222	1
18831	30	43108	270	959	1
18831	31	43108	261	758	2
18831	32	43108	2565	1015	2
18831	33	43108	2401	871	1
18831	34	43108	2301	1209	3
18831	35	43108	2984	1295	3
18832	1	43108	373	1138	1
18832	2	43108	150	950	2
18832	3	43108	223	686	3
18832	4	43108	273	456	1
18832	5	43108	570	355	2
18832	6	43108	793	587	2
18832	7	43108	1070	373	3
18832	8	43108	1214	201	1
18832	9	43108	1530	315	2
18832	10	43108	1432	543	3
18832	11	43108	1418	883	1
18832	12	43108	1428	1079	1
18832	13	43108	1066	1167	2
18832	14	43108	925	1115	2
18832	15	43108	724	1093	2
18832	16	43108	1432	122	2
18832	17	43108	1431	750	3
18832	18	43108	1329	1175	2
18832	19	43108	308	1051	1
18832	20	43108	489	216	3
18836	1	29294	660	235	5
18851	1	35006	1229	421	2
19001	1	43047	1282	468	3
19011	1	37908	874	239	2
19021	1	43066	1228	709	2
19101	1	37741	538	240	3
19132	1	26110	356	184	3
19172	1	26166	279	249	4
19173	1	40023	592	340	2
19173	2	40015	164	265	3
19174	1	34014	577	298	2
19261	1	29181	307	212	3
20001	1	43019	825	307	3
20003	1	43003	414	585	4
20011	1	40025	402	527	2
20012	1	43002	60	191	2
20021	1	26017	1778	268	2
20021	2	26088	928	108	2
20031	1	43067	740	126	3
20101	1	26109	594	281	4
20102	1	27030	319	298	2
20132	1	29189	183	214	2
20171	1	26048	579	425	2
20172	1	26111	308	229	2
20173	1	18501	616	253	2
20175	1	32016	542	302	4
20178	1	26032	258	299	4
20242	1	26038	309	342	2
20302	1	26049	272	301	2
20401	1	43039	277	732	3
20411	1	43069	991	415	4
20412	1	27002	330	141	4
20413	1	43047	379	234	4
20525	1	34014	1911	1178	2
20527	1	34014	218	179	2
20529	1	33002	624	182	2
20871	1	29188	1540	275	2
21013	1	34020	403	581	3
21014	1	29245	1208	282	3
21021	1	34014	815	978	3
21031	1	44063	140	777	3
21041	1	42017	691	174	3
21041	2	44092	242	593	3
21102	1	33024	540	237	4
21136	1	29205	530	258	2
21171	1	32018	353	279	5
21175	1	26055	604	337	2
21201	1	44043	196	396	5
21201	2	37305	427	286	2
21221	1	41015	454	235	2
21222	1	29154	614	376	3
21241	1	26165	308	341	2
21261	1	41012	460	227	2
21261	2	40003	479	224	3
21262	1	29158	319	222	3
21281	1	26045	948	289	3
21282	1	29157	451	217	3
21301	1	32014	168	390	3
21302	1	27032	597	263	60
21303	1	26021	597	269	3
21411	1	34013	1548	218	3
21432	1	43041	88	557	3
21441	1	43095	1427	634	1
21701	1	29151	1465	367	2
21702	1	43004	114	978	3
21702	2	43002	2566	374	3
21703	1	41016	146	357	3
21705	1	26191	380	86	3
21705	2	26006	689	587	3
21706	1	43006	1092	226	3
21706	2	43025	537	527	3
21706	3	34019	1200	913	5
21706	4	44046	552	583	5
21707	1	41002	1087	295	3
21707	2	29061	1048	272	5
21709	1	26123	49	422	3
21711	1	29063	400	577	5
21712	1	41001	371	235	3
21712	2	29149	316	225	3
21713	1	32018	1273	1103	3
21713	2	44090	162	613	3
21714	1	26113	512	176	3
21714	2	40023	103	268	3
21714	3	43057	450	208	3
21714	4	29147	690	312	2
21715	1	26120	555	563	3
21716	1	43017	464	481	3
21716	2	41022	900	512	3
21716	3	29047	800	928	3
21716	4	29152	1038	611	2
21717	1	41017	745	333	3
21717	2	26114	1114	415	3
21717	3	26232	793	442	3
21720	1	26037	133	361	3
21721	1	29046	672	297	3
21722	1	32018	274	1121	3
21722	2	44091	1020	412	3
21723	1	26034	82	400	3
21724	1	43003	1416	323	3
21724	2	43007	61	246	3
21726	1	41016	553	274	3
21727	1	43021	549	291	3
21727	2	43022	1406	805	3
21732	1	43017	449	1511	3
21732	2	34020	2121	950	3
21732	3	43021	353	73	3
21734	1	26029	376	252	3
21735	1	26037	373	221	3
21735	2	29026	951	259	4
21736	1	26109	635	128	3
21737	1	26101	499	190	3
21737	2	43004	3920	795	3
21738	1	41017	646	294	3
21740	1	41017	163	293	3
21742	1	26006	299	561	4
21743	1	32018	334	102	3
21744	1	43002	888	1038	3
21744	2	38003	1519	441	3
21746	1	34020	309	427	3
21747	1	44063	1473	970	3
21747	2	29062	347	1137	2
21747	3	29151	1275	539	3
21748	1	26037	657	405	3
21750	1	43007	116	949	3
21750	2	43024	3090	233	3
21752	1	26110	674	143	3
21753	1	26113	243	184	3
21755	1	26114	361	309	3
21755	2	41017	176	209	3
21756	1	26160	699	193	3
21757	1	43003	1570	363	3
21758	1	40021	1132	395	3
21759	1	26114	101	332	3
21759	2	26242	653	171	3
21862	1	34016	1317	215	2
21863	1	29150	1596	444	5
23001	1	43071	204	783	2
23002	1	34020	1196	388	2
23003	1	37212	1144	752	2
23003	2	34019	273	761	3
23011	1	43061	707	796	2
23012	1	43007	1161	402	2
23012	2	26244	114	505	3
23041	1	43016	151	536	3
23051	1	34005	1152	791	2
23101	1	34021	475	230	2
23104	1	26161	324	227	2
23104	2	26229	599	306	3
23106	1	41023	525	233	2
23131	1	34022	333	275	3
23132	1	34022	618	253	2
23132	2	26037	217	411	3
23133	1	33023	205	242	2
23134	1	26128	250	264	2
23136	1	26231	416	186	2
23171	1	40018	496	262	2
23173	1	26192	466	230	3
23173	2	32021	178	188	3
23175	1	33026	654	351	2
23176	1	42021	611	334	2
23178	1	40027	342	256	2
23179	1	26050	360	212	3
23180	1	33024	307	216	3
23201	1	44023	198	395	3
23221	1	27007	668	230	2
23241	1	34002	543	354	3
23242	1	26037	316	339	3
23261	1	41015	561	273	2
23262	1	41025	320	223	2
23281	1	26232	690	114	2
23301	1	26044	202	266	60
23302	1	26234	727	360	2
23401	1	37007	432	125	2
23403	1	40027	458	493	4
23403	2	26297	561	365	1
23421	1	43010	1036	917	3
23501	1	26046	2707	1162	3
23506	1	26331	977	1766	2
23809	1	26037	815	198	5
23862	1	26102	1355	399	3
24001	1	37215	571	849	2
24002	1	26081	358	375	2
24003	1	34016	653	382	2
24003	2	40005	485	362	3
24012	1	34021	817	387	2
24013	1	26021	1082	379	2
24013	2	32018	79	380	3
24021	1	26110	1065	399	2
24031	1	34015	865	142	3
24031	2	26046	443	836	2
24041	1	34003	453	232	2
24102	1	39024	186	312	4
24103	1	18254	314	230	2
24104	1	26028	165	536	3
24106	1	29197	231	323	3
24131	1	42022	582	362	2
24132	1	42002	484	264	4
24133	1	33025	569	377	2
24135	1	26231	265	301	2
24136	1	40005	241	227	3
24171	1	34022	584	296	2
24172	1	39025	480	270	4
24173	1	40022	512	272	2
24241	1	26232	622	348	2
24242	1	26109	652	492	2
24243	1	26147	627	455	3
24401	1	29263	287	972	4
24891	1	41019	782	6	3
25002	1	41001	825	477	2
25002	2	29227	1194	762	2
25031	1	43002	220	820	3
25032	1	43022	688	151	3
25032	2	44032	875	280	3
25033	1	43017	914	681	3
25051	1	34001	763	204	3
25102	1	34020	668	363	3
25102	2	33041	606	307	3
25103	1	40035	582	324	3
25105	1	40023	697	268	3
25106	1	41009	339	214	3
25107	1	33025	133	320	3
25133	1	33025	265	242	3
25134	1	41004	436	275	3
25136	1	27002	516	262	3
25138	1	42003	611	226	3
25139	1	41004	638	211	3
25140	1	41025	622	311	3
25174	1	42019	219	416	3
25179	1	32018	238	472	3
25181	1	10001	638	313	5
25182	1	44063	226	450	3
25203	1	37305	164	395	4
25223	1	41003	293	253	4
25241	1	29234	449	464	3
25244	1	26037	299	345	3
25244	2	41004	256	357	3
25246	1	26170	311	340	3
25264	1	42002	323	224	3
25282	1	37212	559	102	5
25283	1	26047	748	217	3
25305	1	44091	900	432	3
25308	1	44063	552	281	3
25311	1	26114	652	408	3
25414	1	29235	169	223	2
25414	2	29235	35	322	2
25415	1	29228	3052	687	2
25415	2	29278	2538	566	3
25415	3	29278	2839	1182	3
25415	4	29278	2876	655	3
25416	1	26165	126	459	3
25425	1	29229	292	1034	2
25431	1	29239	838	394	2
25435	1	29232	1328	1300	1
25435	2	29233	257	671	2
25449	1	26169	213	422	3
25464	1	18755	205	298	3
25473	1	37007	348	279	4
25473	2	29326	178	315	3
25481	1	39021	1413	1586	1
25481	2	39021	1430	1616	1
25801	1	43001	880	164	3
25802	1	29225	1812	400	2
25802	2	29225	2243	712	2
26002	1	37909	458	688	5
26002	2	32029	1230	315	4
26002	3	32018	112	736	3
26003	1	26206	57	361	4
26003	2	26095	312	707	5
26003	3	26100	74	784	4
26011	1	43064	651	780	4
26012	1	34003	843	630	3
26012	2	33004	18	318	3
26031	1	39006	169	593	3
26106	1	32002	468	310	3
26107	1	38002	484	245	5
26108	1	41025	554	249	60
26108	2	34022	571	256	3
26131	1	42006	362	213	4
26132	1	36002	201	322	3
26135	1	33023	419	280	3
26138	1	43057	198	356	4
26139	1	26103	463	221	4
26174	1	32029	574	418	3
26177	1	32033	303	218	3
26221	1	34021	213	248	4
26221	2	43003	602	293	4
26241	1	35004	215	298	5
26241	2	35004	116	344	5
26241	3	32033	598	475	5
26241	4	37915	795	466	3
26261	1	40003	453	232	3
26261	2	33023	670	281	6
26281	1	33022	564	94	3
26281	2	33025	550	216	4
26301	1	26175	324	265	4
28001	1	43038	230	479	3
28002	1	34001	506	503	4
28003	1	34020	974	380	4
28004	1	40011	394	633	4
28011	1	43075	534	326	3
28012	1	43061	706	808	3
28174	1	33023	726	236	3
28221	1	27028	131	274	3
28241	1	26034	650	478	2
28241	2	35003	481	396	4
29012	1	33002	824	554	3
29012	2	32015	202	114	3
29031	1	43022	166	397	1
29102	1	38006	453	203	5
29104	1	10000	456	285	60
29241	1	29282	597	492	1
29302	1	26172	776	300	3
29302	2	26156	683	311	3
29303	1	32018	143	330	3
30001	1	36004	218	385	2
30002	1	43010	969	348	2
30004	1	43008	1141	699	2
30004	2	32017	498	161	2
30005	1	43060	627	227	2
30011	1	26090	376	233	5
30011	2	34012	1587	742	3
30021	1	43078	506	321	2
30022	1	34001	236	439	2
30023	1	43079	1101	610	5
30023	2	43078	359	784	5
30024	1	43008	558	329	5
30025	1	36017	201	540	5
30025	2	36016	1132	468	5
30031	1	36013	65	370	3
30031	2	26027	292	744	5
30031	3	40001	569	176	3
30031	4	32018	284	275	1
30041	1	33015	179	195	4
30041	2	33005	952	214	4
30101	1	40004	220	299	2
30103	1	34021	476	299	2
30104	1	26245	428	250	3
30105	1	26026	643	335	2
30133	1	39002	697	380	2
30172	1	42001	598	355	2
30201	1	44062	707	425	2
30241	1	26075	647	297	3
30262	1	33002	249	369	3
30303	1	26232	724	250	3
30421	1	43074	1915	258	1
30421	2	43074	2118	191	3
30421	3	43074	1939	259	3
30421	4	43074	1282	237	60
30421	5	43074	944	321	60
30421	6	43074	1288	264	60
30421	7	43074	1266	256	60
30421	8	43074	1299	243	60
30421	9	43074	1281	1694	3
30421	10	43074	1291	1694	3
30421	11	43074	1321	1696	3
30421	12	43074	1251	1693	3
30421	13	43074	1262	1703	3
30421	14	43074	429	1797	3
30421	15	43074	409	1797	3
30421	16	43074	431	1775	3
30421	17	43074	476	1782	3
30421	18	43074	483	1793	3
30421	19	43074	316	1132	3
30421	20	43074	306	1105	3
30421	21	43074	260	1092	3
30421	22	43074	272	1065	3
30421	23	43074	300	1127	3
30421	24	43074	1897	247	3
30431	1	43010	771	354	3
30431	2	43010	799	369	3
30431	3	43010	817	361	5
30431	4	43010	847	363	6
30431	5	43010	867	361	2
30431	6	43010	747	311	4
30431	7	43010	733	303	3
30431	8	43010	763	319	5
30431	9	43010	829	371	5
30431	10	43010	779	361	6
30471	1	26118	1151	800	4
30471	2	26118	282	754	3
30474	1	34002	344	275	3
30804	1	36001	1019	446	2
30805	1	34022	887	507	3
30815	1	37806	418	465	3
30823	1	32017	795	694	2
30825	1	36004	572	463	4
30844	1	26035	369	343	3
30871	1	43002	266	2815	2
30871	2	43002	945	3108	1
30871	3	43002	650	461	2
30871	4	43002	1323	3486	5
30871	5	43002	1425	2247	3
30871	6	43002	1061	337	1
30871	7	43002	650	2339	3
30948	1	29327	443	164	5
30948	2	29327	209	397	5
30948	3	29327	866	290	5
30948	4	29327	219	723	5
30948	5	29327	1651	291	5
30948	6	29327	2423	299	5
30948	7	29327	2991	91	5
30948	8	29327	3188	374	5
30948	9	29327	3084	796	5
30948	10	29327	3092	1442	5
30948	11	29327	2753	3021	5
30948	12	29327	3221	2851	5
30948	13	29327	1631	3019	5
30948	14	29327	559	3054	5
30948	15	29327	286	2761	5
30948	16	29327	122	2553	5
30948	17	29327	149	2939	5
30948	18	29327	206	2028	5
30948	19	29327	141	191	5
31001	1	33014	654	329	2
31011	1	32018	89	324	3
31062	1	43024	715	576	3
31064	1	43021	349	381	4
31066	1	34004	867	207	3
31071	1	32018	1031	779	3
31101	1	32014	635	311	2
31130	1	34001	410	198	3
31137	1	26001	606	354	3
31141	1	32013	330	275	2
31171	1	40011	277	290	2
31172	1	32018	603	316	2
31174	1	32015	240	303	2
31241	1	27035	401	509	3
31242	1	26028	599	482	3
32002	1	33002	501	326	2
32002	2	34002	193	766	3
32002	3	26042	646	705	3
32011	1	36005	1068	398	4
32021	1	36001	1086	405	3
32021	2	34020	452	323	2
32131	1	32018	636	296	2
32133	1	40013	185	347	3
32241	1	26163	486	210	2
32416	1	36001	680	347	2
