//Id	Name	Sp	Point	ThuocTinh	IdDK1	IdDK2	IdDK3	IdDK4	IdDK5	IdDK6	LvMax	Type	DoManh	SLDanh	Reborn	Combo	Delay	TroiBuff
10040	Kim Chung Tráo3	140	12	1	0	0	0	0	0	0	10	4	10	3	2	85	3500	0
10101	Quang mâu thuật	15	0	7	0	0	0	0	0	0	10	2	22	3	0	87	1500	0
10102	Phật quang chưởng	52	0	7	0	0	0	0	0	0	5	1	12	1	2	84	3300	222
10103	Huyễn Quang	72	0	7	0	0	0	0	0	0	10	1	13	4	0	84	4500	0
10104	Liệt diệm chi quang	30	0	7	0	0	0	0	0	0	5	1	11	6	0	85	3400	222
10105	Quang du thuật	15	0	7	0	0	0	0	0	0	1	5	6	3	1	85	3000	0
10106	Quang chi kính	46	0	7	0	0	0	0	0	0	5	4	11	8	0	85	1500	221
10107	Quang tuyền quán chú	72	0	7	0	0	0	0	0	0	10	14	12	1	1	85	3300	0
10108	Hồi quang phản chiếu	40	0	7	0	0	0	0	0	0	10	14	15	1	2	85	1800	0
10109	Quang tốc đầu trịch	104	0	7	0	0	0	0	0	0	10	2	10	5	0	85	2400	0
10110	Kim tệ công kích	24	0	7	0	0	0	0	0	0	10	2	12	1	1	87	2500	0
10111	Bạch Hổ	120	0	7	0	0	0	0	0	0	10	1	58	6	0	85	5200	0
10112	Gọi tiểu Bạch Hổ	120	0	7	0	0	0	0	0	0	1	1	22	6	0	85	5200	0
10113	Gọi trung Bạch Hổ	120	0	7	0	0	0	0	0	0	1	1	32	6	0	85	5200	0
10114	Gọi đại Bạch Hổ	120	0	7	0	0	0	0	0	0	1	1	23	58	2	85	5300	0
10115	Tập thức quang đạn	84	0	7	0	0	0	0	0	0	10	2	27	8	2	85	2700	0
10116	Đồng quang chi oản	52	0	7	0	0	0	0	0	0	5	1	12	1	2	84	3300	222
10117	C.Đ quang chi oản	52	0	7	0	0	0	0	0	0	5	1	15	1	2	84	3300	222
10118	C.L diệm chi quang	30	0	7	0	0	0	0	0	0	5	1	14	6	0	85	3400	222
10119	Chân huyễn quang	72	0	7	0	0	0	0	0	0	10	1	18	4	0	84	4500	0
10120	C.Phật quang chưởng	52	0	7	0	0	0	0	0	0	5	1	15	1	2	84	3300	222
10121	Siêu quang bá	52	0	7	0	0	0	0	0	0	10	14	15	1	2	85	1800	0
10122	Quyền khuynh vạn lý	30	0	7	0	0	0	0	0	0	10	14	15	1	2	85	1800	0
10204	Vu độc	30	0	8	0	0	0	0	0	0	10	2	15	2	0	87	2200	0
10205	Tụ ẩn kiếm	30	0	8	0	0	0	0	0	0	5	1	10	1	0	87	2900	222
10206	Khô lâu đầu trịch	52	0	8	0	0	0	0	0	0	10	2	10	5	0	85	2400	0
10207	Vu độc oa oa	50	0	8	0	0	0	0	0	0	10	2	16	5	2	85	3800	0
10208	Yêu thuật kích hoả	69	0	8	0	0	0	0	0	0	5	19	1	2	0	85	2700	221
10209	Mê hoặc độc trâm	30	0	8	0	0	0	0	0	0	5	1	7	6	0	84	3400	222
10210	Độc phi luân	56	0	8	0	0	0	0	0	0	10	2	11	1	2	85	3000	0
10211	Huyền Vũ	120	0	8	0	0	0	0	0	0	10	2	2	6	0	85	5200	0
10212	Gọi tiểu Huyền Vũ	120	0	8	0	0	0	0	0	0	1	2	2	6	0	85	5200	0
10213	Gọi trung Huyền Vũ	120	0	8	0	0	0	0	0	0	1	2	2	6	0	85	5200	0
10214	Gọi đại Huyền Vũ	120	0	8	0	0	0	0	0	0	1	2	2	6	0	85	5200	0
10215	Vựng trảm	56	0	8	0	0	0	0	0	0	10	1	10	1	2	84	3000	222
10216	Hắc ám liên trảm	84	0	8	0	0	0	0	0	0	10	1	30	1	2	84	3000	0
10217	C.Ám độc tiễn	15	0	8	0	0	0	0	0	0	10	2	27	3	0	87	1500	0
10218	Chân Vu độc	30	0	8	0	0	0	0	0	0	10	2	18	2	0	87	2200	0
10219	Vạn độc xuyên tâm	72	0	8	0	0	0	0	0	0	10	2	25	8	2	87	3500	222
10220	C.Độc phi luân	56	0	8	0	0	0	0	0	0	10	2	16	1	2	85	3000	0
10221	C.Ám nhẫn trảm	66	0	8	0	0	0	0	0	0	10	1	22	1	1	84	2000	0
10222	C.Mê hoặc độc trâm	30	0	8	0	0	0	0	0	0	5	1	10	6	0	84	3400	222
10223	Phiêu diêu lưu phong	82	0	8	0	0	0	0	0	0	10	14	15	1	2	85	1800	0
11001	Thuật nước ngập	8	1	2	0	0	0	0	0	0	10	2	1	1	0	85	1900	0
11002	Băng Kết Giới	11	4	2	11001	0	0	0	0	0	5	4	2	1	0	85	2000	222
11003	Băng Kiếm	12	3	2	11001	0	0	0	0	0	10	1	1	1	0	87	1900	0
11004	Thủy Hồi Nguyên	22	6	2	11002	0	0	0	0	0	10	14	2	1	0	85	3500	0
11005	Thủy Xuyên	18	5	2	11003	0	0	0	0	0	10	1	2	1	0	84	2000	0
11006	Hồi Ma Thuật	35	8	2	11004	0	0	0	0	0	10	6	6	1	0	85	3000	0
11007	Trị Thương	35	8	2	11004	0	0	0	0	0	10	7	6	1	0	85	2700	0
11008	Dã Thủy	26	8	2	11005	0	0	0	0	0	10	2	8	7	0	85	2900	0
11009	Hồi Ma Tối Thượng	40	9	2	11006	0	0	0	0	0	10	6	5	1	0	85	1900	0
11010	Trị Thương Tối Thượng	42	9	2	11007	0	0	0	0	0	10	7	5	1	0	85	2000	0
11011	Băng Bá	32	9	2	11008	0	0	0	0	0	10	2	7	5	0	85	3700	0
11012	Giải Trạng Thái	15	12	2	11009	0	0	0	0	0	1	5	6	1	0	85	2900	0
11013	Phục Sinh Thuật	40	12	2	11010	0	0	0	0	0	10	8	6	1	0	85	3000	0
11014	Băng Phong	40	16	2	11011	0	0	0	0	0	10	3	6	1	0	85	2700	221
11015	Giải Băng	10	1	2	11011	0	0	0	0	0	1	5	6	1	0	85	3500	0
11016	Thủy Thần	120	0	2	0	0	0	0	0	0	10	18	1	3	0	85	7800	0
11017	Triệu Hồi Tiểu Thủy Thần	120	0	2	0	0	0	0	0	0	1	2	2	6	0	85	7800	0
11018	Triệu Hồi Trung Thủy Thần	120	0	2	0	0	0	0	0	0	1	2	2	6	0	85	7800	0
11019	Triệu Hồi Đại Thủy Thần	120	0	2	0	0	0	0	0	0	1	2	3	8	0	85	7800	0
11020	Thủy Tâm Chú	0	1	2	11012	11013	11014	11015	0	0	10	19	1	1	1	85	0	0
11021	Băng Trảm	24	7	2	11020	0	0	0	0	0	10	1	9	1	1	87	2500	0
11022	Băng Xuyên	30	9	2	11021	0	0	0	0	0	10	1	4	1	1	84	2500	0
11023	BăngThương	50	12	2	11022	0	0	0	0	0	10	2	50	8	1	85	3300	0
11024	Thủy Kính	45	10	2	11020	0	0	0	0	0	5	19	1	1	1	85	3100	221
11025	Giải Trạng Cấp	48	15	2	11024	0	0	0	0	0	1	5	6	3	1	85	3000	0
11026	Linh Thủ Hồi Nguyên	72	15	2	11025	0	0	0	0	0	10	14	2	1	1	85	3300	0
11027	Thiên Băng Vũ	52	5	2	0	0	0	0	0	0	5	1	40	1	2	87	3000	222
11028	Sương Quyền	52	5	2	0	0	0	0	0	0	5	1	20	1	2	84	3300	222
11029	Ma Thuật	60	7	2	0	0	0	0	0	0	10	6	8	1	2	85	3400	0
11030	Cam Lâm	72	7	2	0	0	0	0	0	0	10	14	30	1	2	85	1800	222
11031	Giải Thuật	60	15	2	0	0	0	0	0	0	1	5	8	6	2	85	2300	0
11032	Vô Tưởng	52	10	2	0	0	0	0	0	0	5	19	15	1	2	85	3000	0
11033	Nhất Thiểm	60	9	2	0	0	0	0	0	0	10	1	30	1	2	84	3000	0
11034	Lục Băng Vũ	84	14	2	0	0	0	0	0	0	10	2	150	8	2	85	2700	0
11035	Hải đào chi loạn	67	1	2	0	0	0	0	0	0	10	2	5	5	0	85	3700	0
11036	Thuỷ triều chi vũ	65	1	2	0	0	0	0	0	0	10	2	4	7	0	85	2900	0
11038	Thiên Băng Vũ3	130	9	4	0	0	0	0	0	0	5	2	14	3	2	84	3000	222
12001	Thuật phóng hỏa	9	1	3	0	0	0	0	0	0	10	2	1	1	0	85	2000	0
12002	Liệt Hỏa	12	3	3	12001	0	0	0	0	0	10	2	2	1	0	85	1500	0
12003	Hỏa tiễn	15	4	3	12001	0	0	0	0	0	10	1	1	3	0	87	1500	0
12004	Hỏa Cầu	22	7	3	12002	0	0	0	0	0	10	2	3	1	0	85	2200	0
12005	Hỏa Luân	22	6	3	12002	0	0	0	0	0	10	2	3	1	0	85	1000	0
12006	Hội tâm nhất kích	24	7	3	12003	0	0	0	0	0	10	1	0	1	0	84	1400	0
12007	Hỏa Vũ	30	10	3	12004	0	0	0	0	0	10	2	4	1	0	85	2300	0
12008	Bão Hỏa Luân	30	10	3	12005	0	0	0	0	0	10	2	4	1	0	85	2300	0
12009	Hỏa kiếm	30	9	3	12006	0	0	0	0	0	10	1	1	1	0	84	1800	0
12010	Hỏa Diệt Kiếp	37	12	3	12007	0	0	0	0	0	10	2	5	1	0	85	2200	0
12011	Bát diện hỏa luân	37	13	3	12008	0	0	0	0	0	10	2	11	1	0	85	2200	0
12012	Cuồng Hỏa Trảm	46	12	3	12009	0	0	0	0	0	10	2	7	6	0	85	2600	0
12013	Tam vị chân hỏa	50	16	3	12010	0	0	0	0	0	10	2	6	1	0	85	4500	0
12014	LiêuNguyênHỏa	60	16	3	12011	0	0	0	0	0	10	2	40	8	0	85	2500	0
12015	Bạch Hồng Xuyên Nhật	50	16	3	12012	0	0	0	0	0	10	1	4	1	0	84	1500	0
12016	Hỏa Phượng	120	0	3	0	0	0	0	0	0	10	2	1	3	0	85	5300	0
12017	Triệu Hồi Tiểu Hỏa Phượng	120	0	3	0	0	0	0	0	0	1	2	2	6	0	85	5400	0
12018	Triệu Hồi Trung Hỏa Phượng	120	0	3	0	0	0	0	0	0	1	2	2	6	0	85	5400	0
12019	Triệu Hồi Đại Hỏa Phượng	120	0	3	0	0	0	0	0	0	1	2	3	8	0	85	5400	0
12020	Hỏa Khí	0	1	3	12013	12014	12015	0	0	0	10	19	1	1	1	85	0	0
12021	Phạt Nhật Kiếm	36	8	3	12020	0	0	0	0	0	10	1	5	1	1	84	3500	0
12022	Cuồng Long Thôn Nhật	66	18	3	12024	0	0	0	0	0	10	1	9	1	1	84	2000	0
12023	Liệt Hỏa Vô Địch	48	11	3	12020	0	0	0	0	0	10	2	23	5	1	85	2600	0
12024	Hỏa Hộ Thân	30	10	3	12021	0	0	0	0	0	5	4	6	1	1	85	2700	221
12025	Cuồng Nộ	60	15	3	12026	0	0	0	0	0	5	19	6	8	1	85	1700	221
12026	Ngũ Lôi Trận	54	13	3	12023	0	0	0	0	0	10	2	60	7	1	85	2900	0
12027	Hỏa Quyền	52	7	3	0	0	0	0	0	0	10	1	5	1	2	84	2700	0
12028	Hào Hỏa	56	9	3	0	0	0	0	0	0	10	2	70	1	2	85	3000	0
12029	Xích Long Cự	56	5	3	0	0	0	0	0	0	10	2	150	5	2	85	3800	0
12030	Thiệu Lâm	64	9	3	0	0	0	0	0	0	10	2	140	6	2	85	3500	222
12031	Dương Viêm	52	10	3	0	0	0	0	0	0	10	1	20	2	2	84	3000	222
12032	Phần Dã	72	9	3	0	0	0	0	0	0	10	2	130	8	2	85	4500	222
12033	Liệt Trảm	84	16	3	0	0	0	0	0	0	10	1	30	1	2	84	3500	0
12034	Chấn Hề	84	16	3	0	0	0	0	0	0	10	2	150	8	2	85	6000	0
12035	Hoả thiệt chi loạn	67	1	3	0	0	0	0	0	0	10	2	19	5	1	85	2600	0
12036	Liệt diễm chi vũ	65	1	3	0	0	0	0	0	0	10	2	19	5	1	85	2600	0
12037	Chân.TLong Bá L Trảm	84	1	3	0	0	0	0	0	0	10	1	35	1	2	84	3000	0
12038	Ðại Thánh trảm yêu	84	1	3	0	0	0	0	0	0	10	1	35	1	2	84	3000	0
12039	ÐT trảm yêu áo nghĩa	84	1	3	0	0	0	0	0	0	10	1	35	1	0	84	3000	0
12040	Kim tinh hoả nhãn	15	1	3	0	0	0	0	0	0	10	1	15	1	0	84	3000	0
12041	Xà mâu hồn phệ kích	54	1	3	0	0	0	0	0	0	10	1	19	2	2	84	3000	0
12042	XM Hồn phệ kích A.N	54	1	3	0	0	0	0	0	0	10	1	19	2	2	84	3000	0
12043	Bạch Hổ tàng địa phệ	56	1	3	0	0	0	0	0	0	10	1	38	2	0	84	3000	0
12044	BH tàng địa phệ A.N	60	1	3	0	0	0	0	0	0	10	1	38	2	0	84	3000	0
13001	Thuật ngự phong	9	1	4	0	0	0	0	0	0	10	2	1	1	0	85	1800	0
13002	Tật Phong	15	3	4	13001	0	0	0	0	0	5	3	2	1	0	85	1700	222
13003	Tỵ Khóa	13	4	4	13001	0	0	0	0	0	5	4	2	1	0	85	1900	222
13004	Cuồng Phong	23	6	4	13002	0	0	0	0	0	10	2	1	1	0	85	2700	0
13005	Ẩn Thân Thuật	22	7	4	13003	0	0	0	0	0	5	4	3	1	0	85	2000	221
13006	Mãnh Phong	30	11	4	13004	0	0	0	0	0	10	2	4	1	0	85	2200	0
13007	Huyền Kích	31	10	4	13004	0	0	0	0	0	10	1	1	1	0	84	1800	222
13008	Thuật phân thân	38	13	4	13005	0	0	0	0	0	1	9	4	1	0	85	4500	223
13009	Phong cuốn tàn vân	40	16	4	13006	0	0	0	0	0	10	1	4	1	0	84	2400	0
13010	Liên kích	40	13	4	13007	0	0	0	0	0	10	1	3	1	0	84	2000	0
13011	Thu Nhỏ Thuật	33	12	4	13008	0	0	0	0	0	5	15	5	1	0	85	1700	223
13012	Phóng Đại Thuật	33	12	4	13008	0	0	0	0	0	5	4	5	1	0	85	1700	223
13013	Tán Công	49	16	4	13010	0	0	0	0	0	10	1	5	4	0	84	2600	0
13014	Nguyên Khí	45	15	4	13011	13012	0	0	0	0	10	4	6	1	0	85	1700	223
13015	Thanh Long	120	0	4	0	0	0	0	0	0	10	3	1	3	0	85	6100	0
13016	Triệu Hồi Tiểu Thanh Long	120	0	4	0	0	0	0	0	0	1	2	2	6	0	85	4900	0
13017	Triệu Hồi Trung Thanh Long	120	0	4	0	0	0	0	0	0	1	2	2	6	0	85	4900	0
13018	Triệu Hồi Đại Thanh Long	120	0	4	0	0	0	0	0	0	1	2	3	8	0	85	8200	0
13019	Phong Linh Thuật	0	1	4	13009	13013	13014	0	0	0	10	19	1	1	1	85	0	0
13020	Phong Đảo Thuật	60	10	4	13021	0	0	0	0	0	5	19	6	7	1	85	1900	221
13021	Di Tinh Thuật	48	9	4	13019	0	0	0	0	0	5	4	6	1	1	85	1600	221
13022	Hắc Phong Đạn	36	8	4	13019	0	0	0	0	0	10	2	5	1	1	85	2400	0
13023	Tuyền Phong	54	12	4	13024	0	0	0	0	0	10	2	7	6	1	85	2700	0
13024	Ảo Ảnh Kích	44	11	4	13022	0	0	0	0	0	10	1	8	1	1	84	2500	0
13025	Vô Hình Vô Tướng	52	15	4	13020	0	0	0	0	0	5	4	6	1	1	85	1300	222
13026	Bång Lôi	44	11	4	0	0	0	0	0	0	10	1	10	1	2	84	3000	0
13027	Thần Ly	42	9	4	0	0	0	0	0	0	10	2	40	1	2	85	3400	0
13028	Phi Kiếm	48	4	4	0	0	0	0	0	0	10	2	25	5	2	85	2600	0
13029	Sơn Cương	56	9	4	0	0	0	0	0	0	10	1	15	1	2	84	3000	222
13030	Hút hồn	50	9	4	0	0	0	0	0	0	5	15	10	3	2	85	2800	224
13031	Lôi Minh	84	11	4	0	0	0	0	0	0	10	2	150	8	2	85	3000	0
13032	Ẩn Phong	68	9	4	0	0	0	0	0	0	5	4	8	2	2	85	2600	222
13034	Cuồng phong chi loạn	67	1	4	0	0	0	0	0	0	10	2	19	1	0	85	2700	0
13033	Lôi Chấn Thiên	72	8	4	0	0	0	0	0	0	10	1	13	4	2	84	2800	0
13035	Xuy phất chi vũ	65	1	4	0	0	0	0	0	0	10	1	19	1	0	84	2400	0
13036	TLong Y nguyệt trảm	72	1	4	0	0	0	0	0	0	1	1	28	1	0	84	4500	0
13037	TL YN trảm áo nghĩa	72	1	4	0	0	0	0	0	0	1	1	28	1	0	84	4500	0
13042	Sơn Lam3	140	0	4	0	0	0	0	0	0	10	1	20	3	2	84	3000	222
14001	Trinh Sát Thuật	0	0	5	0	0	0	0	0	0	1	0	1	1	0	85	2000	0
14002	Đào Tẩu Thuật	10	0	5	0	0	0	0	0	0	1	12	2	1	0	85	500	0
14003	Mậu Dịch Thuật	0	0	5	0	0	0	0	0	0	8	0	2	1	0	85	2000	0
14004	Thám Hiểm Thuật	0	0	5	0	0	0	0	0	0	10	0	2	1	0	85	2000	0
14005	Luyện Đan Thuật	0	0	5	0	0	0	0	0	0	10	0	2	1	0	85	2000	0
14006	Nộ Hống	20	0	5	0	0	0	0	0	0	10	2	2	2	0	84	2200	0
14007	Giải Trừ Thụy Miên	5	0	5	0	0	0	0	0	0	1	5	3	1	0	85	2000	0
14008	Thụy Miên Thuật	15	0	5	0	0	0	0	0	0	5	3	3	1	0	85	2200	222
14009	Tuyển Dụng Thuật	0	0	5	0	0	0	0	0	0	10	0	3	1	0	85	2000	0
14010	Khai Khoáng Thuật	0	0	5	0	0	0	0	0	0	10	0	3	1	0	85	2000	0
14011	Luyện Kim Thuật	0	0	5	0	0	0	0	0	0	10	0	3	1	0	85	2000	0
14012	Đồng Tâm	36	0	5	0	0	0	0	0	0	10	4	3	1	0	85	2000	223
14013	Cổ Vũ	36	0	5	0	0	0	0	0	0	5	19	6	8	1	85	1700	221
14014	Giải Độc Thuật	8	0	5	0	0	0	0	0	0	1	5	4	1	0	85	2000	0
14015	Phóng Độc Thuật	25	0	5	0	0	0	0	0	0	10	15	4	1	0	85	2000	224
14016	Khai Thương Thuật	0	0	5	0	0	0	0	0	0	10	0	4	1	0	85	2000	0
14017	Thiền Định	0	0	5	0	0	0	0	0	0	10	0	4	1	0	85	2000	0
14018	Thâm Khoáng Thuật	0	0	5	0	0	0	0	0	0	10	0	4	1	0	85	2000	0
14019	Luyện Tạo Thuật	0	0	5	0	0	0	0	0	0	5	0	4	1	0	85	2000	0
14020	Hỗn Loạn Thuật	30	0	5	0	0	0	0	0	0	5	15	4	2	0	85	2000	221
14021	Hỗn Độn Thuật	25	0	5	0	0	0	0	0	0	5	15	4	1	0	85	2000	221
14022	Giải Trừ Hỗn Độn	10	0	5	0	0	0	0	0	0	1	5	4	1	0	85	3200	0
14023	Kỵ Mã Thuật	0	0	5	0	0	0	0	0	0	1	0	4	1	0	85	2000	0
14024	Thánh Quang	20	0	5	0	0	0	0	0	0	1	0	1	1	0	85	1200	0
14025	Đoạt Nguyên Thuật	0	0	5	0	0	0	0	0	0	1	0	1	1	0	85	1200	0
14026	Triệu Linh Thuật	0	0	5	0	0	0	0	0	0	1	0	4	1	0	85	2000	0
14027	Gia Sư Thuật	0	0	5	0	0	0	0	0	0	1	0	1	1	0	85	1200	0
14028	Đoàn Kết Thuật	0	0	5	0	0	0	0	0	0	1	0	1	1	0	85	1200	0
14029	Kỳ Môn Đạn	60	0	5	0	0	0	0	0	0	10	15	1	1	0	85	3000	0
14030	Kỳ Môn Xung	80	0	5	0	0	0	0	0	0	10	2	8	1	0	85	3300	0
14031	Giải Trừ Công Kích	0	0	5	0	0	0	0	0	0	1	0	1	1	0	85	2000	0
14032	Toàn Cực Dung Hợp	0	0	5	0	0	0	0	0	0	10	0	5	1	0	85	2000	0
14033	Xạ Tiễn Thuật	30	0	5	0	0	0	0	0	0	5	2	1	1	0	84	2900	0
14034	Kỵ Thú Thuật	0	0	5	0	0	0	0	0	0	1	0	8	1	0	85	2000	0
14035	Chuyển Sinh Thuật	0	0	5	0	0	0	0	0	0	1	0	1	0	0	85	0	0
14036	Bách Xuyên	24	0	5	0	0	0	0	0	0	5	1	1	1	0	84	3000	222
14037	Tiễn vũ	30	0	5	0	0	0	0	0	0	5	1	50	6	0	84	4500	222
14038	Đại chu thiên	0	1	5	10020	0	0	0	0	0	10	0	1	0	0	85	4500	0
14039	Bá khí	0	1	5	0	0	0	0	0	0	10	0	1	0	0	85	3000	0
14040	Cuồng Nộ	46	1	5	0	0	0	0	0	0	5	19	1	2	0	85	2700	0
14041	Sơn Lực Kháng Địch	0	1	5	0	0	0	0	0	0	10	0	1	0	0	85	3000	0
14042	Sóng cuồng	54	1	5	0	0	0	0	0	0	5	1	60	3	0	84	1900	0
14043	Linh Hồn Bảo Hộ	0	1	5	0	0	0	0	0	0	10	0	1	0	0	85	3000	0
14044	Thánh Giáp Hộ Thể	46	1	5	0	0	0	0	0	0	5	19	0	1	0	85	3000	0
14045	Tâm Lực Độc Địch	0	1	5	0	0	0	0	0	0	10	0	1	1	0	85	3000	0
14046	Hộ Khí Giáp	46	1	5	0	0	0	0	0	0	5	19	1	0	0	85	1200	0
14047	Chiến Lược Khắc Địch	0	1	5	0	0	0	0	0	0	10	0	1	0	0	85	3000	0
14048	Tối Cao Chiến Lược	0	1	5	0	0	0	0	0	0	10	0	1	0	0	85	3000	0
14049	Dụ Địch Trinh Sát	0	1	5	0	0	0	0	0	0	10	0	1	0	0	85	3000	0
14050	Tối Thượng Chiến Thuật	0	1	5	0	0	0	0	0	0	10	0	1	0	0	85	3000	0
14051	Tiên khiếu	0	1	5	0	0	0	0	0	0	10	0	1	0	0	85	4500	0
14052	HóaHuyếtHòanHồn	0	1	5	0	0	0	0	0	0	5	0	1	0	0	85	4500	0
14053	ThánhLinh thuật	52	1	5	0	0	0	0	0	0	5	19	1	1	0	85	4500	221
14054	CànKhônThiênLôi	84	1	5	0	0	0	0	0	0	5	1	14	1	2	85	4500	222
14055	Thánh Giáp Tán Huyết	0	0	0	0	0	0	0	0	0	0	0	1	20	0	85	3000	0
14056	Tiên Linh Hộ Thể	0	0	0	0	0	0	0	0	0	0	5	0	0	0	85	0	0
14058	Thiết Bố Sam	0	0	0	0	0	0	0	0	0	0	5	0	0	0	85	0	0
15001	Cầm Địch Thuật	0	0	0	0	0	0	0	0	0	10	11	4	1	0	85	3000	0
15002	Lưới Cầm Địch	0	0	0	0	0	0	0	0	0	10	11	4	1	0	85	3000	0
15003	Cầm Địch Thành Công	0	0	0	0	0	0	0	0	0	10	11	4	1	0	85	3000	0
15004	Cơm Lưới Cầm	0	0	0	0	0	0	0	0	0	10	11	4	1	0	85	3000	0
15005	Cơm Cầm Thành Công	0	0	0	0	0	0	0	0	0	10	11	4	1	0	85	3000	0
16001	Cung Tháp	0	0	0	0	0	0	0	0	0	10	1	8	1	0	87	1500	0
16002	Thành Môn	0	0	0	0	0	0	0	0	0	10	1	16	8	0	86	1500	0
17001	Phòng Ngự	0	0	0	0	0	0	0	0	0	10	10	1	1	0	85	100	0
18001	Đào Tẩu	0	0	0	0	0	0	0	0	0	10	12	1	1	0	85	1500	0
18002	Đào Tẩu Thất Bại	0	0	0	0	0	0	0	0	0	10	12	1	1	0	85	1500	0
19001	Vật Phẩm	0	0	0	0	0	0	0	0	0	0	13	0	1	0	85	2400	0
20001	Hấp Huyết Mộc	0	0	0	0	0	0	0	0	0	0	1	0	1	0	85	2600	0
20002	Thiệt Huyết Độc	0	0	0	0	0	0	0	0	0	0	1	0	1	0	85	2000	0
20003	Phản Thương	0	0	0	0	0	0	0	0	0	0	1	0	1	0	85	2000	0
20004	Họa Thần	0	0	0	0	0	0	0	0	0	0	1	0	1	0	85	3000	0
20005	Lộc Thần	0	0	0	0	0	0	0	0	0	0	1	0	1	0	85	3000	0
20006	Hộ Chủ	0	0	5	0	0	0	0	0	0	1	17	0	1	0	85	1000	0
20007	Giải Trừ Hộ Thân	0	0	0	0	0	0	0	0	0	0	17	0	1	0	85	1000	0
20008	Linh Phù	0	0	0	0	0	0	0	0	0	0	17	0	1	0	85	1000	0
20009	Xung Phong Xa	0	0	0	0	0	0	0	0	0	10	1	1	1	0	84	2000	0
20010	Đao Xa	0	0	0	0	0	0	0	0	0	10	1	1	1	0	84	1200	0
